Bin Center (ms),Transient,0 pg,10 pg,100 pg,250 pg
200,0,0,0,0,0
260,1.330798479,6.137387387,5.688789738,5.739732806,5.613577023
320,3.231939163,8.38963964,7.640825432,6.382978723,6.005221932
380,7.034220532,6.813063063,6.525376464,7.718951014,6.919060052
440,10.64638783,7.77027027,7.640825432,8.065314201,6.919060052
500,9.69581749,7.77027027,7.473508087,6.927263731,9.399477807
560,8.745247148,7.31981982,7.250418293,6.72934191,5.874673629
620,8.55513308,5.574324324,6.134969325,5.59129144,6.005221932
680,7.034220532,6.137387387,5.633017289,6.580900544,5.483028721
740,3.802281369,5.011261261,5.409927496,5.492330529,6.788511749
800,6.08365019,4.504504505,4.015616286,4.750123701,6.527415144
860,6.463878327,4.335585586,5.409927496,4.948045522,4.569190601
920,3.6121673,3.490990991,3.457891801,4.255319149,4.046997389
980,3.6121673,3.040540541,3.290574456,2.919346858,3.785900783
1040,2.661596958,3.040540541,3.123257111,2.671944582,3.785900783
1100,2.851711027,2.252252252,2.342442833,2.226620485,2.610966057
1160,2.47148289,2.083333333,2.175125488,2.078179119,2.219321149
1220,1.330798479,1.858108108,1.840490798,1.880257298,2.349869452
1280,2.091254753,1.182432432,1.673173452,1.682335477,1.697127937
1340,1.330798479,1.970720721,1.561628555,1.385452746,1.305483029
1400,1.330798479,1.52027027,1.115448968,0.791687284,1.436031332