k1,k2,k3,k4,k6,k7,k8,f1,error
6.49E+00,6.63E+00,1.79E+00,2.39E+00,1.30E+00,1.25E+01,1.68E-01,1.31E-01,1.51E-03
1.91E+00,1.33E-04,1.95E+01,1.84E+00,1.28E+00,5.67E+00,4.93E-02,6.72E-01,1.52E-03
3.22E+00,7.76E+00,1.20E+00,2.30E-01,3.46E+00,8.39E+00,1.57E-01,2.19E-01,1.52E-03
9.29E-01,5.44E+00,3.58E+00,1.15E-04,3.53E+00,5.64E+00,2.35E-01,3.95E-01,1.55E-03
9.33E-01,3.46E-02,2.00E+01,1.57E+00,2.26E+00,5.83E+00,5.78E-02,7.04E-01,1.55E-03
2.58E-01,4.37E+00,1.51E+00,3.23E+00,5.16E-01,1.48E+01,1.46E-01,8.00E-02,1.55E-03
6.68E-01,5.23E+00,5.92E+00,1.85E+00,1.73E+00,7.75E+00,1.28E-01,3.61E-01,1.56E-03
2.67E-01,3.40E+00,8.70E+00,3.13E-01,3.04E+00,5.71E+00,1.83E-01,3.33E-01,1.57E-03
5.05E+00,1.64E+01,7.36E-01,1.41E-04,3.42E+00,7.11E+00,1.92E-01,2.67E-01,1.60E-03
1.10E+00,1.61E-04,1.99E+01,1.50E+00,2.25E+00,6.28E+00,1.02E-01,6.40E-01,1.61E-03
1.67E+00,7.33E+00,3.43E+00,3.37E-04,3.39E+00,8.63E+00,1.95E-01,4.68E-01,1.62E-03
8.07E+00,1.79E+01,3.85E+00,2.54E-04,3.75E+00,8.31E+00,1.44E-01,4.80E-01,1.65E-03
6.97E-01,3.82E-04,1.45E+01,9.67E-04,4.35E+00,4.81E+00,2.06E-01,6.08E-01,1.66E-03
1.76E+01,1.32E+01,2.01E+00,1.71E+00,1.66E+00,1.44E+01,2.08E-01,9.22E-02,1.72E-03
4.48E-01,1.61E+00,5.61E+00,2.64E-03,3.84E+00,7.91E+00,2.74E-01,2.87E-01,1.74E-03
1.72E-01,5.27E+00,9.13E-01,1.34E-01,3.33E+00,7.34E+00,1.92E-01,3.06E-02,1.77E-03
1.24E+00,7.10E+00,5.91E+00,1.81E+00,1.90E+00,7.68E+00,1.14E-01,2.96E-01,1.78E-03
3.83E-01,2.45E+00,6.41E+00,2.10E+00,1.39E+00,7.98E+00,1.06E-01,1.34E-01,1.83E-03
2.09E+00,7.70E-04,1.41E+01,1.53E+00,1.60E+00,4.36E+00,7.81E-02,4.21E-01,1.86E-03
1.40E+00,8.65E+00,4.31E+00,9.97E-01,2.66E+00,7.93E+00,1.31E-01,1.29E-01,1.87E-03
1.22E+01,1.19E+01,6.45E-01,2.79E+00,2.54E-01,1.33E+01,8.32E-02,9.50E-02,1.89E-03
6.22E-01,1.47E+00,1.27E+01,2.65E+00,5.96E-01,7.56E+00,5.97E-02,3.68E-01,1.93E-03
6.52E-01,3.73E+00,3.40E+00,1.14E-04,4.57E+00,6.35E+00,1.57E-01,3.29E-01,1.93E-03
3.52E+00,4.20E-03,1.78E+01,4.42E-01,3.28E+00,3.21E+00,6.83E-02,4.56E-01,2.06E-03
4.29E-01,1.03E+00,4.36E+00,4.29E+00,7.68E-03,1.96E+01,5.04E-02,1.29E-01,2.18E-03
1.22E+00,4.88E+00,4.29E-01,8.26E-02,4.46E+00,5.81E+00,4.18E-01,3.61E-02,2.20E-03
1.19E+00,4.36E+00,9.31E-01,4.24E-01,3.23E+00,1.39E+01,1.42E-01,1.48E-01,2.22E-03
2.39E+00,1.30E-02,6.02E+00,2.83E+00,1.62E+00,8.39E+00,4.17E-02,5.51E-01,2.31E-03
4.46E+00,1.39E+01,2.73E+00,1.16E-03,6.87E+00,5.24E+00,4.92E-01,3.35E-01,3.35E-03